filename,class,split,source_path
Intro-to-batteries-featured.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Intro-to-batteries-featured.jpg
41560_2019_368_Fig1_HTML.png,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\41560_2019_368_Fig1_HTML.png
1-s2.0-S2405829720304827-fx1.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\1-s2.0-S2405829720304827-fx1.jpg
ef1c02489_0011.jpeg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\ef1c02489_0011.jpeg
typical-lithium-ion-battery.png,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\typical-lithium-ion-battery.png
aenm202102917-fig-0006-m.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\aenm202102917-fig-0006-m.jpg
image-2-716x1024.png,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\image-2-716x1024.png
lithium-ion-aa-batteries.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\lithium-ion-aa-batteries.jpg
Lithium_battery_terminal_image_EN.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Lithium_battery_terminal_image_EN.jpg
Batteries-.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Batteries-.jpg
Types-of-Batteries-Featured-Image.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Types-of-Batteries-Featured-Image.jpg
Lithium-ion-lithium-polymer-superhero-battery-blog-cover-image.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Lithium-ion-lithium-polymer-superhero-battery-blog-cover-image.jpg
batteries2.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\batteries2.jpg
Batteries3.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Batteries3.jpg
Li-Batteries-for-Disposal-or-Recycling-1024x575.png,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Li-Batteries-for-Disposal-or-Recycling-1024x575.png
imagescxsuu.png,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\imagescxsuu.png
know-what-type-of-battery-to-use-in-equipment2.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\know-what-type-of-battery-to-use-in-equipment2.jpg
power-one-c-size-1-5v-battery-pack-of-2--500x500.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\power-one-c-size-1-5v-battery-pack-of-2--500x500.jpg
file-20201020-17-1x28u8s.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\file-20201020-17-1x28u8s.jpg
Eneloop_6420.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Eneloop_6420.jpg
EDR-2.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\EDR-2.jpg
Difference-Between-Alkaline-and-Lithium-Batteries-Tabular-Form.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Difference-Between-Alkaline-and-Lithium-Batteries-Tabular-Form.jpg
poweron-longlife-power-9v-mrp-265.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\poweron-longlife-power-9v-mrp-265.jpg
Photo-collage-of-different-types-of-batteries-12022022.jpg.webp,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Photo-collage-of-different-types-of-batteries-12022022.jpg.webp
maxresdefault.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\maxresdefault.jpg
Nokia_Battery.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Nokia_Battery.jpg
alkaline-zinc-carbon.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\alkaline-zinc-carbon.jpg
40422.MN2400B8.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\40422.MN2400B8.jpg
Alkaline-vs.-Lithium-Batteries.png,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Alkaline-vs.-Lithium-Batteries.png
battery-recycling2.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\battery-recycling2.jpg
Lithium-Batteries.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Lithium-Batteries.jpg
Batteries_-Lithium-Ion-Battery-and-Lithium-Polymer-Battery-Explained.png,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Batteries_-Lithium-Ion-Battery-and-Lithium-Polymer-Battery-Explained.png
41586_2019_1682_Fig1_HTML.png,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\41586_2019_1682_Fig1_HTML.png
Lithium-Batteries-vs-Alkaline-Batteries.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Lithium-Batteries-vs-Alkaline-Batteries.jpg
NAWMA-Safe-Battery-Recycling-content.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\NAWMA-Safe-Battery-Recycling-content.jpg
Types-of-rechargeable-batteries-.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Types-of-rechargeable-batteries-.jpg
lithium-vs-alkaline-batteries.png,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\lithium-vs-alkaline-batteries.png
19.13.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\19.13.jpg
bu-social.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\bu-social.jpg
What_Batteries_are_Best_for_Flashlights_2991x.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\What_Batteries_are_Best_for_Flashlights_2991x.jpg
inf212000-fig-0004-m.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\inf212000-fig-0004-m.jpg
what-is-a-lithium-ion-battery-what-are-the-types-of-lithium-ion-battery-chemistries.webp,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\what-is-a-lithium-ion-battery-what-are-the-types-of-lithium-ion-battery-chemistries.webp
carbon-zinc-battery-vs-alkaline.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\carbon-zinc-battery-vs-alkaline.jpg
inf212000-fig-0001-m.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\inf212000-fig-0001-m.jpg
spent-batteries-CNBG3H.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\spent-batteries-CNBG3H.jpg
rechargeable-battery-2048px-5939.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\rechargeable-battery-2048px-5939.jpg
lifecycleimagebatteries.png,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\lifecycleimagebatteries.png
battery-recycling.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\battery-recycling.jpg
AMP-17_61f252bb2428a.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\AMP-17_61f252bb2428a.jpg
battery_recycling.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\battery_recycling.jpg
battery_sizing.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\battery_sizing.jpg
Alkaline-batteries.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Alkaline-batteries.jpg
Lithium-ion_battery.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\Lithium-ion_battery.jpg
18650Cell.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\18650Cell.jpg
basic-lithium-ion-battery-5-2_en.png,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\basic-lithium-ion-battery-5-2_en.png
1_Picture7.png,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\1_Picture7.png
batteries_as_hero.jpg,batteries,train,C:\Users\GAME\Documents\GitHub\Waste\data\Hazardous\Hazardous\batteries\batteries_as_hero.jpg
